bJ=1 X,bJ=1 Y,bJ=2 X,bJ=2 Y,bJ=3 X,bJ=3 Y,bJ=5 X,bJ=5 Y,bJ=7 X,bJ=7 Y,bJ=12 X,bJ=12 Y
0.0002880182606148918,0.24999103754833585,0.010686312052291841,0.24828283766956025,0.005471260447072718,0.24843426823184514,0.0003230160742793975,0.25004634525071084,0.00014837254644944897,0.24998240015572243,0.00013747088306681476,0.24996348953627592
0.010272769640906787,0.24922209323831285,0.02037058158917207,0.24649235876996892,0.014376240490170417,0.2446540418989644,0.0039109440228338455,0.247212584221366,0.008366325539537534,0.24389102782524597,0.00604191337411944,0.24222027275043068
0.0234054216534261,0.2486014679644239,0.029182004598678063,0.2452268551480723,0.020654483056134293,0.2431203208626022,0.009505166471375198,0.2429995293442384,0.023880681927796604,0.22644955781452475,0.011525594186685195,0.2323011656808773
0.03744987680089004,0.24769499766626724,0.03422614644729435,0.24409557003789234,0.010366570910210093,0.2463959182039483,0.015637876501795933,0.23906578261838507,0.032494945108470646,0.21982882199173626,0.01617407836345386,0.22049927227956573
0.05017500496487806,0.24747311058265797,0.040976546722716806,0.2428493608000583,0.030395658391570685,0.2398220817369588,0.021276863130031826,0.23566740949033482,0.03947891957650121,0.21310996805051957,0.02407004225191453,0.20843487382815562
0.06248605426740453,0.24723810083536873,0.04909613531423282,0.24134094262578154,0.00025964280377957505,0.25001606174133373,0.026264304429365587,0.23173820021304753,0.03580820595421433,0.21675119158043518,0.03167482305518923,0.19750533620406804
0.07444637630766113,0.24634673641031682,0.0561835180429813,0.24040193475147037,0.03558479502444237,0.23839039266942125,0.032616317786885146,0.2291506394737214,0.047201861719608135,0.2071237838250234,0.0396350741081071,0.1875354593070192
0.0879980124155266,0.24564171622495584,0.06760726286945709,0.23863378326286244,0.04455331950423333,0.23506105043544961,0.04462303440918128,0.22236567498798718,0.055738261822332574,0.2013334051862556,0.04724956299163738,0.17887003980137417
0.10207304701169798,0.2452648193943232,0.0624215465609452,0.23939396372991112,0.04917358670715197,0.23384868577669707,0.041341813230811125,0.22464849739541654,0.07103629208407383,0.1912380641184714,0.05475579633811142,0.17099140187852627
0.11582201620542268,0.24456798206816807,0.07437394023599983,0.23753851009630225,0.02546819249510887,0.24149510719204623,0.05240948621311395,0.21821248365898,0.06486019881822971,0.19627522960163632,0.06307608649225951,0.16384936498734667
0.12895561354733567,0.24405164786773692,0.08035905893966946,0.2363737205819169,0.05878573109091503,0.23096750193457938,0.03726188600559496,0.22667433614815347,0.07823036585340823,0.18662911890449746,0.07052068148277715,0.15732354413835964
0.1404952725633,0.24363726675544878,0.08777948906292612,0.23546926938170737,0.0650132681543448,0.22942293137784608,0.047881804955310275,0.22061511582799415,0.08581697486106818,0.18206384131811476,0.07848283869069186,0.15172214001202636
0.1525274803612293,0.24285579923070438,0.09454189767307644,0.23414123892241778,0.04005708139456479,0.23671934917824117,0.05646976118587074,0.21594115494245597,0.09414851658906401,0.1778019167217245,0.10187369962087409,0.13721744502226377
0.16601760141344532,0.2426945523691108,0.10323739779274346,0.233251793346003,0.07064822737814688,0.22781805259417198,0.0675451219497146,0.21060836426652624,0.1019820426924685,0.1740195076908604,0.11844754961891987,0.12944804645383384
0.18013975619070297,0.2422011758171958,0.11067240074228804,0.2317815970304135,0.07652253399402834,0.22592904625379961,0.06096948480343775,0.2140492668101898,0.1087473249520782,0.17052210984739627,0.14039202629980416,0.12043372428220561
0.19395688526146268,0.2418203608002495,0.11867361123264267,0.2309776504096031,0.054377320829161885,0.23243146655744681,0.06537106979349758,0.2125549227101996,0.1161896635796055,0.16682940258066292,0.15679411161221649,0.11517139797008288
0.20740256314333624,0.24144698739812984,0.1248769213876941,0.22973361028364464,0.08322563449494394,0.22428832729307757,0.07449827719738486,0.20735035630810994,0.12568894835664343,0.16362686643648663,0.14899019229668212,0.1179536519332696
0.2197016470230291,0.24104772241093403,0.1340610794370167,0.22879954099112546,0.09419862930413855,0.22094077388583758,0.07689340817509596,0.20572122422264655,0.13329450839582915,0.160460124273262,0.1657322115532662,0.11305824683879881
0.23244013894914448,0.24116012862534492,0.14136052496133492,0.2276518365167131,0.08872321982014644,0.22253883929826251,0.08173251935379036,0.20388401937683376,0.14824997786478702,0.15491585846470024,0.18058638623975823,0.10919795694650261
0.24446204759719767,0.24038782238589002,0.15036612685680442,0.22676516224796692,0.10577808914452799,0.21815934999592984,0.06999355192412263,0.20908371781126647,0.1416572869927792,0.1574450748677918,0.19347553465164838,0.10624570716529055
0.2583757082100493,0.24005265540457407,0.15748656378351475,0.22578193432698151,0.11239445976910015,0.21673986869016565,0.09049967501244374,0.19999857675125407,0.15627602771238944,0.15214151566877046,0.20266492210777562,0.10413196069244846
0.272032796565003,0.23987569556661523,0.16581176351575913,0.22503453733293638,0.1012758718857392,0.21962363324619838,0.08588991577043212,0.20188966386790821,0.16446431666974462,0.14971378550576986,0.21888284878131645,0.10146891074197648
0.285850289846898,0.23953916862371338,0.1724116573658014,0.22399953994583754,0.12284563169207033,0.21425482654892508,0.0990557042617978,0.19667437630250684,0.17182644944623268,0.1471168638914653,0.23413176559769308,0.09902779150608434
0.29836499893434987,0.2392009279862267,0.18125206992944873,0.22325810000945223,0.11787212099230501,0.21544607471118984,0.09418194163363972,0.19825971032649503,0.1818467292805708,0.14507827198863532,0.24440960570536305,0.09795168853947742
