bJ=1 X,bJ=1 Y,bJ=2 X,bJ=2 Y,bJ=3 X,bJ=3 Y,bJ=5 X,bJ=5 Y,bJ=7 X,bJ=7 Y,bJ=12 X,bJ=12 Y,bJ=30 X,bJ=30 Y
0.007421550222620477,0.25111923068613184,0.0008930636462594066,0.2503739948888867,0.01060530554537864,0.24496695752118305,0.013658431426336326,0.2435963208200347,0.000918370657011558,0.2500075878904059,0.002603324071348667,0.24964086834081328,0.00012736558110532092,0.2501321477334819
0.012301801118912936,0.2503718463507562,0.007389322150663791,0.24850660831951285,0.017653195733809746,0.24377706202637006,0.010344733645166249,0.2464684780334312,0.009576672388679208,0.24603505483396315,0.007874693163779034,0.24139460566872634,0.0025031823340334047,0.24756761651110035
0.02369810776381176,0.24936197204264418,0.013895556010673882,0.24744789057790206,0.023623062396255556,0.2432782942460886,0.021998394434167012,0.2352333634389466,0.014694020786895912,0.23704723475820338,0.009759911997804072,0.23826446325756068,0.003442150671020938,0.23681272914354765
0.03020679709597085,0.24850231124325198,0.020400255200590744,0.24626476224740468,0.03335824213230315,0.23973075085870818,0.000740624049133054,0.2501060348991317,0.013589264948594526,0.24282514903134472,0.00866668123098674,0.24376769565728026,0.009324769834091362,0.20298893851925048
0.0367306796620524,0.2488743152738373,0.026905721725554166,0.24514383921135058,0.04038462684255956,0.2367974779331995,0.019771995869751424,0.23695736126777964,0.017341346758667497,0.2350768159889969,0.011564419221556377,0.2334272236471919,0.0021226714164805927,0.24418200469119566
0.043245354207574915,0.2484998557711029,0.033413490255657374,0.2442095320586264,0.045795975902429675,0.2350630006146505,0.02734731810124985,0.232065210616963,0.017057551903896684,0.23953165299195378,0.02070066235759399,0.22174039432435272,0.007185101408979322,0.231951113526958
0.04975542474281791,0.24775216450170864,0.03992279345585381,0.24339963549478885,0.05283780962495732,0.23338212761726707,0.01702808462605926,0.2419787630088475,0.01697314504877212,0.23268907060318983,0.006449598515257726,0.2462468982862992,0.0064823321255981226,0.2190214010647241
0.056273091895022054,0.24762030564730317,0.046426725310724115,0.24215430186984815,0.05932946411908224,0.23114150928123345,0.03329432763665807,0.22971349173816885,0.0267190035308848,0.2227533315531161,0.012078195172601891,0.2358718006416607,0.008554136751382668,0.2108098929528492
0.06278477383386288,0.24700324549623986,0.05293909785110679,0.24159322648378384,0.06583032663376615,0.22964735447851947,0.018582730363459754,0.23951130146102406,0.022909318717129645,0.22945892410214977,0.017430975504318158,0.22818037075904207,0.009493866405102691,0.19890774199335037
0.06930328505461836,0.24693981246572203,0.05943765836065096,0.23991245579773995,0.07176822100260427,0.2265566994297668,0.03814913911928841,0.2281127999369763,0.027175395501893185,0.22054598056590669,0.0200564890997198,0.21839679033680237,0.015490087264952546,0.17429326225463637
0.07581489025995453,0.2463165317852144,0.06920184336145957,0.23871627254031663,0.0788182396322955,0.22553934957311203,0.040260727810370656,0.22675339639041991,0.02581718576316555,0.22598448586383865,0.028914444102556558,0.2031483425667598,0.003115413389870092,0.24020432878475184
0.08233570348584968,0.24643971463802647,0.07569441865764037,0.23655030055761495,0.08584395931884481,0.22255216539241912,0.04618271276590946,0.222373018236876,0.03388350554036973,0.21564543780596995,0.016038810061345166,0.2308662002994834,0.007064622068832738,0.2270201790259869
0.08885152903394206,0.24615856307695705,0.08221292987839574,0.23648686752709708,0.09180385062568502,0.22124472878437465,0.05265299149802227,0.21839953812706445,0.03306625040538719,0.21847791686684376,0.02326496104736475,0.2166661735661322,0.007837764788517276,0.22302961550174888
0.09536735458203444,0.24587741151588763,0.08871225772298652,0.23486830213549653,0.09832312918148706,0.2212435010483001,0.05911814004725219,0.21401017119154622,0.040096620421740614,0.21344975741881095,0.02643611267704299,0.20707419901204568,0.011523723381673845,0.18729567778524123
0.10188663313783647,0.24587618377981307,0.0952246302633693,0.23430722674943222,0.10481294207150016,0.21885359000560253,0.06505403934496912,0.21075778237724097,0.04550899259500618,0.21179822049285305,0.035332944269388544,0.1949773467648464,0.010069223250504633,0.20634447682364304
0.1083990056782192,0.24531510839374876,0.10173623546870542,0.23368394606892456,0.11131564619029582,0.21750872790955253,0.07317066271688721,0.2069146410676474,0.04921790654268382,0.20417735574417095,0.023988551601837382,0.21349450518896035,0.014686678443704915,0.17945719681734706
0.11491483122631158,0.24503395683267934,0.10823633064834282,0.23212758597176733,0.11781420669984005,0.21582795722350867,0.07856962307720133,0.20538483417348002,0.047591988275842656,0.2081208769157072,0.025589668396309995,0.20995837332753817,0.015645189536184267,0.1690775944932702
0.12143111717543192,0.24479012844827588,0.11475668347321,0.23221344564791344,0.12431506921452395,0.2143338024207947,0.08556285891344512,0.19976429252802042,0.05568407455133273,0.19987063298555596,0.032840290975857,0.19774217710947484,0.008519251593754773,0.2152357555181872
0.127949935330206,0.24475157753553536,0.12125110037350262,0.2301967663718757,0.1308351151053726,0.21439477997916348,0.0915356122172567,0.1994995351411209,0.062173821669770424,0.1974753900604775,0.019986285465849518,0.22479542576833866,0.019905068317193297,0.16208016145612072
0.13445931526390703,0.24394790150114215,0.12776500758397852,0.22976010157469798,0.137309120893426,0.21072343987093373,0.09800928914743301,0.1958015356209869,0.06536209878833887,0.19168968380921253,0.036552277917697384,0.19037042975425378,0.022233933192741584,0.15087347403389337
0.14097698241611117,0.24381604264673667,0.13426893943884882,0.22851476794975728,0.14382456277399502,0.21041118566264264,0.10394319337402885,0.192387413041129,0.07186503310764858,0.19036348330149552,0.02711707588895451,0.20528279807149946,0.011475462520978919,0.1930551786920709
