label	file	kms_max	kms_t	kms_component	kms_sigma_quadrature	kms_z_quadrature	mag_drift_max	mag_drift_t	mag_component	mag_sigma_quadrature	mag_z_quadrature	closure_max	closure_t	endpoint_kink_max	endpoint_kink_t
$T_{\max}=10,\ \Delta t_R=0.05$	spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10__mag=constantX.hdf5	0.0035300570271001794	9.9	zz	0.0023073700222862696	1.5299050403725034	0.010156146369414655	9.9	z	0.0037970489050266273	2.6747473165198627	0.022104909143752485	10.0	0.0013636535222245484	1.7000000000000002
$T_{\max}=20,\ \Delta t_R=0.10$	NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10__mag=constantXX.hdf5	0.01010035148590966	16.2	zz	0.00426874615430575	2.366116681761869	0.022199589158058107	14.9	z	0.005928148100535331	3.7447764093568128	0.07847275803594446	20.0	0.0013445800666136935	1.7000000000000002
