file	schema	imaginary_field_grid	equal_time_prescription	connected_strategy	constant_magnetization	labels	beta	h_abs	JL	JQ	Tmax	delta_real_t	delta_imag_t	num_samples	iterations	termination	factorization	fft_cutoff	iteration_error_last	kms_last	closure_max	stationarity_last	magnetization_drift_max	phase_last	approximation_error_last	max_Re_correlation_SE	edge_shape	finite
noselfcons/Validation_factorization/spinmodel=ISO__beta=1_dense_smoke.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	1.0	0.0	0.0	1.0	0.2	0.1	0.5	200	1	no self consistency	dense		0.014855059102439038	0.0002483681584198201	2.249632117650281e-16	0.00024051014542843794	0.00024051014542843797	1.0		0.0024754809223497625	3x9x3	True
spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.02	8000	4	by convergence			0.006880749960609084	0.0035932653938161234	0.030549194369338752	0.013372508716567508	0.013372508716567507	0.9999649511367664		0.002268691572860957	101x4x51	True
spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.05	0.02	8000	5	by convergence	fft	3.0	0.006849078455278907	0.004887706918134276	0.01923615901322404	0.010713771990665349	0.010713771990665349	0.9995749121655281	0.0021292824353219206	0.0025370078565062643	201x4x51	True
spinmodel=ISO__beta=0.2.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	0.2	0.0	0.0	1.0	7.5	0.0375	0.006666666666666667	8000	3	by convergence	dense	3.0	0.0018197586102919033	6.273185002563741e-05	0.00018955194771918927	0.0	0.0	0.9999999981096142	0.0	0.0016433332669453778	201x1x31	True
spinmodel=ISO__beta=0.2__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	0.2	0.0	0.0	1.0	7.5	0.0375	0.006666666666666667	8000	3	by convergence	fft	3.0	0.0032263738305793876	0.000312297102564388	0.0002936332928796036	0.0	0.0	0.9999998071496884	0.0002064704689588462	0.0017789243364016078	201x1x31	True
spinmodel=ISO__beta=0.4__factor=fft.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	0.4	0.0	0.0	1.0	0.2	0.05	0.1	64	1	by convergence	fft		0.0075094795858032465	0.0034906863597965318	2.2204702882979873e-16	0.0008915789153100415	0.0008915789153100416	0.9999624528172956		0.0042641171633451885	5x9x5	True
spinmodel=ISO__beta=0.4__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	0.4	0.0	0.0	1.0	0.2	0.05	0.1	64	1	by convergence	fft	3.0	0.011822992981303836	0.001731254418106581	2.2204714856450705e-16	0.0004938436560543095	0.0004938436560543095	0.9999999999992962	0.16568579796782043	0.0037262606118456092	5x9x5	True
spinmodel=ISO__beta=1.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.0	0.0	1.0	10.0	0.2	0.03333333333333333	16000	3	by convergence			0.004718175469784314	0.0010019816703021444	0.0021043196110518965	0.003222377756458271	0.003222377756458271	0.9999956951059756		0.0013291811537196766	51x4x31	True
spinmodel=ISO__beta=1__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	1.0	0.0	0.0	1.0	8.0	0.04	0.03333333333333333	8000	3	by convergence	fft	3.0	0.004597558667312738	0.0013057665532152246	0.006991067747673557	0.0	0.0	0.9995515676606567	0.000476951808053922	0.0017123694980869322	201x1x31	True
spinmodel=ISO__beta=1__factor=fft_wcut=3X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	1.0	0.0	0.0	1.0	8.0	0.04	0.03333333333333333	24000	4	by convergence	fft	3.0	0.0030205166739743355	0.000755064876075193	0.003099054436943323	0.0	0.0	0.9995500202766848	0.0003437004979479067	0.0010282192111740504	201x1x31	True
